2.45	1388592000	SH600651
-2.39	1388678400	SH600651
-1.75	1388937600	SH600651
-0.18	1389024000	SH600651
2.86	1389110400	SH600651
-1.74	1389196800	SH600651
-3.71	1389283200	SH600651
-2.39	1389542400	SH600651
2.82	1389628800	SH600651
3.84	1389715200	SH600651
-1.41	1389801600	SH600651
0.18	1389888000	SH600651
-3.03	1390147200	SH600651
2.21	1390233600	SH600651
2.34	1390320000	SH600651
-0.53	1390406400	SH600651
1.77	1390492800	SH600651
0	1390752000	SH600651
-1.22	1390838400	SH600651
1.23	1390924800	SH600651
2.6	1391011200	SH600651
2.2	1391702400	SH600651
1.33	1388592000	SZ000606
-2.19	1388678400	SZ000606
-4.48	1388937600	SZ000606
0.62	1389024000	SZ000606
-3.42	1389110400	SZ000606
-3.86	1389196800	SZ000606
-3.68	1389283200	SZ000606
-5.56	1389542400	SZ000606
2.57	1389628800	SZ000606
4.12	1389715200	SZ000606
-1.55	1389801600	SZ000606
-4.72	1389888000	SZ000606
-2.57	1390147200	SZ000606
1.88	1390233600	SZ000606
4.81	1390320000	SZ000606
-0.71	1390406400	SZ000606
1.6	1390492800	SZ000606
-2.27	1390752000	SZ000606
2.5	1390838400	SZ000606
7.5	1390924800	SZ000606
-1.46	1391011200	SZ000606
0.16	1391702400	SZ000606
0.62	1388592000	SZ000691
-1.22	1388678400	SZ000691
-1.24	1388937600	SZ000691
1.05	1389024000	SZ000691
-0.41	1389110400	SZ000691
-1.04	1389196800	SZ000691
0	1389283200	SZ000691
0.63	1389542400	SZ000691
1.04	1389628800	SZ000691
0.83	1389715200	SZ000691
-1.02	1389801600	SZ000691
0.21	1389888000	SZ000691
0	1390147200	SZ000691
0.41	1390233600	SZ000691
0.62	1390320000	SZ000691
0.41	1390406400	SZ000691
-0.2	1390492800	SZ000691
-1.63	1390752000	SZ000691
-1.45	1390838400	SZ000691
0.21	1390924800	SZ000691
0.21	1391011200	SZ000691
-0.21	1391702400	SZ000691
1.84	1388592000	SZ002102
-0.6	1388678400	SZ002102
-4.04	1388937600	SZ002102
0	1389024000	SZ002102
0.63	1389110400	SZ002102
-0.63	1389196800	SZ002102
-6.74	1389283200	SZ002102
-1.35	1389542400	SZ002102
2.29	1389628800	SZ002102
-0.67	1389715200	SZ002102
1.35	1389801600	SZ002102
-1.33	1389888000	SZ002102
-0.9	1390147200	SZ002102
1.36	1390233600	SZ002102
2.24	1390320000	SZ002102
0.44	1390406400	SZ002102
1.31	1390492800	SZ002102
3.23	1390752000	SZ002102
-1.04	1390838400	SZ002102
0.42	1390924800	SZ002102
1.89	1391011200	SZ002102
3.09	1391702400	SZ002102
0.69	1388592000	SH600078
-2.22	1388678400	SH600078
-3.15	1388937600	SH600078
0.18	1389024000	SH600078
0.18	1389110400	SH600078
-3.6	1389196800	SH600078
-2.99	1389283200	SH600078
0	1389542400	SH600078
1.54	1389628800	SH600078
0	1389715200	SH600078
0	1389801600	SH600078
-1.52	1389888000	SH600078
-0.19	1390147200	SH600078
1.35	1390233600	SH600078
3.04	1390320000	SH600078
-0.74	1390406400	SH600078
1.12	1390492800	SH600078
-1.47	1390752000	SH600078
-1.12	1390838400	SH600078
0.94	1390924800	SH600078
-0.37	1391011200	SH600078
1.69	1391702400	SH600078
0	1388592000	SH600258
0	1388678400	SH600258
9.99	1388937600	SH600258
-1.73	1388592000	SH600736
-2.52	1388678400	SH600736
-3.88	1388937600	SH600736
0.27	1389024000	SH600736
-0.27	1389110400	SH600736
0	1389196800	SH600736
-3.49	1389283200	SH600736
0	1389542400	SH600736
2.23	1389628800	SH600736
1.63	1389715200	SH600736
0.54	1389801600	SH600736
-0.8	1389888000	SH600736
-1.08	1390147200	SH600736
0.82	1390233600	SH600736
2.43	1390320000	SH600736
-0.26	1390406400	SH600736
6.6	1390492800	SH600736
-3.47	1390752000	SH600736
-0.77	1390838400	SH600736
0.26	1390924800	SH600736
-0.26	1391011200	SH600736
0.52	1391702400	SH600736
-0.85	1388592000	SZ002131
0.57	1388678400	SZ002131
0	1388937600	SZ002131
0.07	1389024000	SZ002131
2.41	1389110400	SZ002131
-3.25	1389196800	SZ002131
-5.01	1389283200	SZ002131
-0.38	1389542400	SZ002131
0.53	1389628800	SZ002131
1.5	1389715200	SZ002131
0	1389801600	SZ002131
0	1389888000	SZ002131
7.78	1390147200	SZ002131
-3.57	1390233600	SZ002131
0.36	1390320000	SZ002131
0	1390406400	SZ002131
4.33	1390492800	SZ002131
